header,body
"היו""ר רוני בר-און",אני מבטיח לך שהכנסת תבחר בך לייצג אותה שם. אתה תהיה הסניגור של מדינת ישראל שם.
אחמד טיבי,"לא בנושא הזה.

אנשים לא יודעים מה המציאות שיוצרת הגדר בשטח. מדובר בכלי שהוא כלי להשפלת בני אדם, ואני תוהה למה תמיד - משך 50 השנים האחרונות - כל דבר שיש בו השפלה עד עפר של פלסטינים, יוצא ממפלגת העבודה ומהשמאל בישראל, ומה שאתה מציג, מתן, בנושא הגדר, זאת הצעה של מפלגה שאין לה תוכנית מדינית."
אורי אריאל,"מה, מה? זאת התקפה על השמאל עכשיו?"
אחמד טיבי,"היחידים, אגב, שאין להם תוכנית מדינית זה העבודה."
דליה איציק,"אדוני, אני מבקשת להביא זווית נוספת שאולי לא הושמעה כאן, והיא אולי תנעם לאוזניהם של חבריי מהליכוד.

 אני הייתי במדריד בסוף השבוע יחד עם חבר הכנסת גדעון סער, חבר הכנסת טיבי, ואחרים."
אחמד טיבי,וחבר הכנסת דני יתום.
דליה איציק,"דני יתום - זה נוגע בהצעה שלו.והעובדה שהגדר הזאת נתפסת גם אצל הפלסטינים כאחד מהדברים הקשים ביותר שמדינת ישראל הולכת לעשות, העובדה שהם משתמשים בה כלפי העולם, העובדה שאירופה מתייחסת לגדר הזאת לא בשכל, לא בצדק, ובשביל אירופה - שהיתה תמיד בוגדנית כלפי ישראל - הסיפור של הגדר הוא סיפור שהם מאוד משתמשים בו - הם כמובן לא קוראים לזה fence, הם קוראים לזה wall, שהמשמעות של זה היא הרבה יותר חריפה - אני חשבתי שהעובדה שימין ושמאל בכנסת מתלכדים סביב העניין של הגדר, היא כלפי כולי עלמא הוכחה שסביב העניין הזה אין אופוזיציה-קואליציה.

 יש ויכוח על התוואי - נכון, ויכוח אפילו קשה - אבל אין ויכוח על הקמת הגדר, ואני חושבת שזה מאוד-מאוד נכון דווקא בשעה הזאת, כשהולכים לבית הדין והולכים למקומות אחרים כדי לתבוע את ישראל, גם באו""ם - אני חושבת שזה שכנסת ישראל - שמאל וימין - מתלכדים סביב העניין הזה, בעיני זאת תשובה מוחצת כלפי העולם, שקם עלינו בסוגיה הזאת."
דני יתום,"אני אשיב בקצרה. ראשית, אני נתלה באילן מאוד גבוה - שזה ראש הממשלה - שהחליט על גדר.

 שנית, אין לי ספק שהחלטת כנסת - בלי להיכנס עכשיו למהות של ההחלטה - אבל החלטת כנסת שתתמוך בגדר, תסייע לעמידה האיתנה של חבר הכנסת גדעון סער ותסייע לעמידה האיתנה של ראש הממשלה."
גדעון סער,אל תדאג לעמידה האיתנה שלי.
דני יתום,"הדבר השלישי - אני חייב לומר, שבניגוד לחבר הכנסת סער, אני לא משועשע בכלל מהמצב . המצב הזה גורם לי לעצב רב, והלוואי והיו לי סיבות להיות משועשע.

 הנושא האחרון - חשוב מאוד לקבוע זמן מכיוון שזמן - לדעתי, עד כמה שאני יודע - חסר בהחלטת הממשלה, וזמן יאפשר לנו כחברי כנסת לבקר את פעילות הממשלה."
"היו""ר רוני בר-און","אנחנו עוברים להצבעה. מכיוון ששתי ההצעות שונות בעניין שלטעמי הוא מהותי - וזה התוואי - אני סברתי מלכתחילה שיש להצביע על שתיהן ביחד, אבל מכיוון שיש משהו שמבחין ביניהן, אנחנו נצביע בנפרד.

 מי בעד מתן פטור מחובת הנחה להצעתו של חבר הכנסת מתן וילנאי, ירים את ידו.

ה צ ב ע ה

בעד - 4

נגד - 9

נמנעים - אין

הבקשה למתן פטור מחובת הנחה מוקדמת על שולחן הכנסת להצעת חוק גדר הביטחון, התשס""ד-2003, לא נתקבלה."
"היו""ר רוני בר-און",אני קובע אפוא שבקשתו של חבר הכנסת מתן וילנאי למתן פטור מחובת הנחה לא נתקבלה.
מתן וילנאי,אני המום.
"היו""ר רוני בר-און","שלב ההספדים זה אחרי, אבל אל תהיה המום - יכול להיות שתתנחם."
מתן וילנאי,לכן אני נשאר פה במתח.
"היו""ר רוני בר-און","אנחנו מעמידים להצבעה את בקשתו של חבר הכנסת דני יתום בעניין פטור מחובת הנחה- באותו עניין, עם השינויים. מי בעד לפטור מחובת הנחה את בקשתו של חבר הכנסת דני יתום?

ה צ ב ע ה

בעד - 4

נגד - 9

נמנעים - 1

הבקשה של חבר הכנסת דני יתום לפטור מחובת הנחה מוקדמת על שולחן הכנסת את הצעת חוק גדר הביטחון, התשס""ד-2003, לא נתקבלה."
"היו""ר רוני בר-און","בנמנע אחד, הבקשה גם היא נדחית.

3. הצעת חוק שידורי פרסומות, תשדירי שירות ושידורי חסות בגלי צהל, התשס""ד-2003,

של חבר הכנסת אורי אריאל (פ/1632)"
"היו""ר רוני בר-און","הבקשה השלישית היא בקשתו של חבר הכנסת אורי אריאל - פטור מחובת הנחה של הצעת חוק בדבר התרת שידורי פרסומות בגל""צ."
אורי אריאל,"היות והחוק הזה מסדיר לקונה שהיתה בחוק, הצעת החוק שמונחת בפניכם נוסחה על-ידי מערכת הביטחון, בתיאום עם גל""צ, עם כל הגורמים. גם הוגש תזכיר לכל המשרדים והגורמים הנוגעים בדבר, כך שאני חושב שאין פה שום בעיה."
רשף חן,אז אולי הממשלה מסכימה.
אריאלה קלעי,הממשלה לא מסכימה.
"היו""ר רוני בר-און","תודה רבה לך על העזרה בניהול, חבר הכנסת רשף חן."
אורי אריאל,"אין בעיה מבחינת הזמן שדרוש למשרדי הממשלה או לגופים אחרים שצריכים לענות לעניין.

 היות והבקשה הזאת - יש לה השלכה על תקציב המדינה - אני מבקש לאשר לה פטור מחובת הנחה, כך שנוכל לחוקק את החוק בהקדם."
גדעון סער,"אדוני היושב-ראש, להציג את הצעת החוק הזאת כהסדרת לקונה, זה הייתי אומר שובה לב, אבל רחוק מהאמת - ואני מדגיש, רחוק מהאמת.

 לא בכדי, העניין הזה לא מוסדר. לעניין הזה או להסדרתו, יש השלכות למרות שבעניין זה, גלי צה""ל, לצערי - אני לא השתכנעתי שהיא מקפידה בשמירת החוק בנושא הזה - יש לו השלכות מרחיקות לכת על תשדירי החסות ברשות השידור, דהיינו על הכנסות, ואולי גם על הרשות השנייה."
אחמד טיבי,- - -
גדעון סער,"יכול להיות. דרך אגב, אתה יודע שאני תומך בעמדה הזאת, ומי שיביא לכנסת הצעה כזאת - אני אתמוך בו."
אורי אריאל,"גדעון, החוק הזה יהיה מוגבל בסכום. בשוק של כמה מיליארדים, 20 מיליון."
גדעון סער,לא חשוב.
אורי אריאל,כן חשוב.
גדעון סער,"אתה מכניס לשוק שחקן חדש במובן הזה, והדבר הזה הוא בעייתי ביותר. צריך לתת לו שיקול דעת רציני. זה שאתה אומר בתיאום עם מערכת הביטחון - זה ברור. ברור שגלי צה""ל תומכים בכך שיהיה להם מקור הכנסה כספי.

 להביא את העניין הזה תחת פטור מחובת הנחה - תביא את זה בצורה מסודרת. מה הבהילות? הרי 55 שנה גלי צה""ל מסתדרת, ברוך השם, בלי העניין הזה."
ענבל גבריאלי,למרות שמנסים לסגור אותה.
גדעון סער,"לא מנסים לסגור אותה, הדבר הזה לא עומד על הפרק. אם הוא היה עומד על הפרק - ניחא, אבל לבוא ולפגוע בערוצים אחרים בהזדמנות הזאת, לדעתי זה מוטעה."
מתן וילנאי,"רק הערה קטנה - זאת לא לקונה, זאת תפיסת עולם, ואני רק מחזק את ההערה של חבר הכנסת סער, שהצבא לא מכניס את עצמו בכלל לכל הסוגיות האלה.

 לכן, בהיותי ראש אכ""א, דחיתי את זה כמה פעמים, ואני גם אצביע נגד ההצעה הזאת."
"היו""ר רוני בר-און","חבר הכנסת אריאל, שתי מלים לתשובה בבקשה."
אורי אריאל,"ראשית, הצעת החוק מתואמת עם משרד הביטחון. צה""ל הוא לא הגורם פה, עם כל הכבוד - הוא שחקן חשוב - אבל מערכת הביטחון היא זו שמתקצבת את גלי צה""ל. אין לזה צורך, אין לזה הצדקה בזמן שסוגרים פרוייקטים חשובים לאין ערוך, בכל קנה מידה.

 אני אומר - הצעת החוק הזאת הוכנה על-ידי מערכת הביטחון, בתיאום עם צה""ל ועם כל הגורמים.

 שנית, הסכום - גדעון - מוגבל ובא להחליף את מה שהמדינה היום מממנת, לפי דעתי שלא בצורך בכלל."
גדעון סער,מה זה קשור לפטור מחובת הנחה?
אורי אריאל,"אני אענה לך. הדבר השלישי - הפטור מתבקש משני טעמים: 1. שהחוק הוכן על-ידי מערכת הביטחון, לא על-ידי. העניין מתגלגל כבר מעל שנה."
גדעון סער,שיגישו הצעת חוק ממשלתית.
אורי אריאל,"החוק הזה, הכתוב פה, הוכן על-ידי מערכת הביטחון, לא על-ידי. אני הכנתי הצעה אחרת. שנית - הכוונה היא להגביל את הסכום, שיהיה תחליף למה שמערכת הביטחון, קרי מדינת ישראל היום, משלמת לגל""צ, סדר גודל - נא לא לתפוס אותי במילה - 30 מיליון שקל.

 מי שאומר ש- 30 מיליון שקל משפיע על שוק הפרסום של כל החברות וזה דבר מאוד חשוב - אתה יודע מה, יש לי מחלוקת אתך, חבר הכנסת גדעון סער, ולא תאשרו."
גדעון סער,עוד לא ראיתי שהחברות הרוויחו השנה.
"היו""ר רוני בר-און","חברים, הדיון תם, אנחנו עוברים להצבעה. מי בעד מתן פטור מחובת הנחה להצעת החוק של חבר הכנסת אורי אריאל?

ה צ ב ע ה

בעד - 3

נגד - 5

נמנעים - 2

הבקשה למתן פטור מחובת הנחה מוקדמת על שולחן הכנסת של הצעת חוק שידורי פרסומות, תשדירי שירות ושידורי חסות בגלי צה""ל, לא נתקבלה."
"היו""ר רוני בר-און","אני קובע שברוב של 5 נגד, 3 בעד, 2 נמנעים, הבקשה לפטור מחובת הנחה לא עברה.

 הנושא הבא על סדר היום הוא בקשתו של חבר הכנסת שלום שמחון - הוא הודיע לי שהוא מושך אותה בשלב זה. סדר היום תם.

 תודה לכל החברים, הישיבה נעולה.

הישיבה ננעלה בשעה 11:20."
