header,body
"היו""ר רן כהן","אבל פה כבר מדובר בפן השני של העניין. בכל זאת הבעיה היא הרבה פחות חריפה בהיקפה, אני זוכר את מרכז תל אביב, - -"
עדנה אלטר,"ההיקף שלה הוא באמת פחת בצורה משמעותית, להגיד שהבעיה היא פחות חריפה אני לא בטוחה כי העלויות - -"
"היו""ר רן כהן","הבעיה אולי יותר חריפה, אבל היא פחות פרטית."
עדנה אלטר,"לא, כל העלויות של מאה משפחות שהם במצוקה עמוקה יכול להיות שהם הרבה יותר גבוהות ממאה משפחות שהיו מקבלים עזרה מהכנסיות ומהמנהיגויות."
אילנה זיילר,"אני לא אחזור כמובן על המחויבות של המשרד להעניק חינוך לכל אחד מהילדים, כי על זה כבר דובר. אבל אני רוצה להתיחס להערה לגבי אמנת זכויות הילד וחוק זכויות התלמיד. מדינת ישראל חתומה על אמנת זכויות הילד והמשרד מודע לכך, אני עצמי הופעתי פעמיים בפני ועדות של האו""ם שבהם היו צריכים לדווח על ההתנהלות של המדינה בנושא הזה, ויצאנו משם בהחלט בכבוד. 

אשר למערכת ואשר לחינוך של המערכת לכבד את חוק זכויות התלמיד או חוק זכויות הילד באשר הוא ילד, ואת הנגזרות מתוך חוק זכויות התלמיד, אני מבקשת לציין שהנושא הזה הוא אחד מהנושים המרכזיים על סדר יומה של מערכת החינוך, זוכה לתמיכה רבה מאד הן של המנהלת הכללית והן של השרה, ובמהלך שלוש השנים האחרונות נעשתה פעולה רבת היקף בנושא הזה שנוגעת לא רק לילדי עובדים זרים, אלא, לכל ילדי ישראל באשר הם. בכלל זה, פרסום אמנת זכויות הילד בכל בתי הספר, בכלל זה הוצאת פנקס זכויות התלמיד בעברית, בערבית וברייל, בשתי השפות. לכל תלמיד בכתה א' עד ג' במדינת ישראל השלב הבא הוא קבלת הפנקס לילדים בכתות ד' עד ו', הרבה פעילות חינוכית שנעשית בנושא הזה, בין מורים ובין תלמידים ובין הורים, הרבה מאד מפגשים של בניית אמנות בין הורים ובין תלמידים, כך שההמלצה שאנחנו נפגש עם יוניצף, היא בוודאי המלצה שמקובלת עלינו, אבל אני סבורה - -"
"היו""ר רן כהן",הנושאים שהיא דברה זה לגבי הנושא באמת שהם מעבר לשעות התלמיד לאותם דברים שהם במעבר שבין השכלה שניתנת בבית הספר לחינוך שניתן בבית הספר.
אילנה זיילר,"אז התהליך של החינוך וההכרזה על בתי ספר כבתי חינוך ועל תהליך של בניית הסכמות בתוך צוותי הורים מורים, רשויות וכו', כפי שאני אומרת הוא תהליך שאפשר למסור עליו בישיבה נפרדת נתונים מרשימים מאד של מה עושה המערכת, היום בנושא, כולל כלים, כולל הדרכת מורים וכו'. כך שהייתי רוצה קצת למתן את התחושה שאנחנו כפי שאני אומרת, נשמח להפגש עם יוניצף, ועם כל גוף אחר."
רינה יצחקי,אני שבחתי את כל מה שהמשרד עושה.
"היו""ר רן כהן","בכל זאת ד""ר זיילר, מה התשובה לגבי הנושא של התגבור. בגלל המצוקה המיוחדת."
אילנה זיילר,"פה אנחנו מדברים על נוסחת ההקצאה הדיפרנציאלית כפי שהיא נעשית היום, ואני מתארת לעצמי שכשמביאים בחשבון את מספר הילדים, את המקדמים השונים של ההעדפה, שנמצאים בבית ספר ביאליק, אני יכולה לתאר לעצמי שהילדים בבית ספר ביאליק לא מקבלים פחות ממה שמקבלים ילדים בכל בית ספר אחר - -"
"היו""ר רן כהן","סליחה, עכשיו הפכת את הנוסחה, היתה איך בגלל מצבם המיוחד של הילדים יקבלו - -"
אילנה זיילר,"לא, הנוסחה של התיקצוב הדיפרנציאלי, אם אתה רוצה שאני ארחיב עליה כרגע אני מוכנה, מביאה בחשבון הרבה מאד מקדמים שיש בהם העדפה מתקנת לאוכלוסיות שזקוקות לכך, משום שהיום אנחנו באמת כמספר ילדי בתי הספר נותנים יצוג פר-ילד, אם אין כאן העדפה מתקנת לילדי עובדים זרים, כי אמרנו שכל ילד שנמצא בבית הספר זכאי לחינוך, וכל הילדים נספרים והילדים האלה המספרים שלהם אינם נעלמים, הם האי לא מתחת לשלחן, הם מעל לשלחן, אז אם יש 600 ילדים, או 300 ילדים בבית ספר ביאליק, על פי המקדמים השונים של נוסחת התיקצוב - -"
"היו""ר אילן שלגי","האם במקדמים האלה ילדי עובדים זרים, הם כמו נאמר, עולים חדשים או ילדים של שכבות חלשות, איך הם מסווגים שם."
אילנה זיילר,נוסחת שושני.
"היו""ר אילן שלגי","אבל הבעיה שהתשובה ליושב ראש היא שנוסחת שושני לא פועלת במקרה הזה, משום בעצם אין השוואה לילדי עובדים זרים עם שום סוג אוכלוסייה שקיים בארץ. ואני גם לא אוהב את ההשוואה, לא עם העולים החדשים וגם לא עם אנשים נניח בשכבות העוני. כי זה משהו אחר."
אילנה זיילר,"אני שוב אומרת התיקצוב הדיפרנציאלי לא מגדיר עולים ולא מגדיר אוכלוסייה כזאת או אחרת. אלא לוקח מקדמים של הילד. הוא לוקח את מקדם השכלת הורים, הוא לוקח מקדם ארץ מוצא, הוא לוקח מקדם מספר התלמידים, יש עוד מספר מקדמים, אני רוצה להניח שעל בסיס הנוסחה הזאת אפשר. עכשיו אתם מדברים על תוספת. לגבי תוספת בגין ילדי עובדים זרים, זאת שאלה שצריך לבדוק אותה, גם עם הרשות ואני מוכנה לבדוק אותה גם במשרד. אבל לא הייתי רוצה שנצא מכאן בתחושה שבית ספר ביאליק מקבל פחות או הפסיד בגין המעבר, והנה החברות כאן לא שוללות את זה."
"היו""ר רן כהן","מכיוון שאני אחרון, אני אסתפק רק בכמה משפטים שהיה חשוב לי להשמיע אותם, הם משפטי היסטוריה. אבל היסטוריה, אני מקווה שהעתיד יהיה טוב יותר ממה שאני ארצה לספר עליו, אפילו יותר טוב כי הם ראויים האנשים האלה, להיות מוזכרים לפחות ברקורד.

כמנהל מחוז תל אביב בעבר, ובעובדה מחוז תל אביב הוא היה הקולט הגדול ביותר של ילדי פועלים זרים, אנחנו מהר מאד הבנו את המסר שנאמר כאן, ילד הוא ילד הוא ילד, ופנינו, ולשאלה לך אם המורים קלטו את רעיון זכויות ילדים וכן הלאה, לצערי לא רק שאני יכול לומר, לא, לא כולם קלטו את זה, גם פקידות בכירה לא קלטה את זה ועובדה שלא נענינו כמה שנים. ואני חייב לציין לשבח את עיריית תל אביב, את אמירה יהלום שאיננה איתנו כאן, עשתה עבודה נפלאה, הם אנשים מעורים. והם קלטו את העניין בזמנו והשקיעו הרבה מאד, וכמובן גם המחוז עזר כדי לפתור את הבעיה, אבל ממסדית היא לא נפתרה, עד שהגיע חבר הכנסת יוסי שריד, הוא הגיע כשר חינוך והוא באחת קבע הלכה בענין הזה. וההלכה שלו, אני מקווה שהי גם שרירה וקיימת וגם התפתחה, שיש שוויון ערך אדם, וילד הוא ילד, ובאמת אין לזה שום קשר עם הפועלים והגרוש, והעניינים האחרים. ילדים באים לבית הספר, מפוחדים, ואני מצטער לשמוע שהם מפוחדים עוד היום. היו אז מפוחדים, יש להם בעיות לשוניות, רב לשוניות, כי הם באים מ-14 מדינות, 15 מדינות, מספרים גדולים. בשביל זה צריך צוות חכם ועל מה קיבלה אמירה יהלום וצוות המורים, שבחלקו יושב כאן היום, על מה קיבלה את המחמאה הגדולה ממני, על כך שהשכילה להפוך בעיה לאתגר, שתכנית לימודים רב תרבותית מהממת ולא כל יום אני משתמש במילה הזאת, מהממת באמת לדוגמה. ולכן לשאלה איך, שאלת, איך באמת, זה באמת משימה גדולה מאד, בית ספר ביאליק הוא דגם. מי רוצה ללמוד, מי שצריך ללמוד, יכול לבוא ולראות. והמלצתי החמה בכל העניין, ואני שמח לשמוע שהיום הדברים מאורגנים ומסודרים, אבל יש באמת מקום לזכור את האנשים הטובים שהתחילו את המהלך, ואני מאחל באמת למשרד שימשיך בדרך אותה הוא תיאר."
"היו""ר אילן שלגי",
"אני מציע לעצמנו רן, שנקבל החלטות כדלהלן","ועדת החינוך והתרבות והוועדה לעובדים זרים, מודעות לקשיים בפניהם נצבות מערכת החינוך והרשויות המקומיות במתן שרותי חינוך לילדי העובדים הזרים בהתאם לאמנות הבינלאומיות והחוק הישראלי.

הוועדות מביעות הערכה למאמץ המושקע בשילובם של ילדי העובדים הזרים בגני הילדים ובבתי הספר, ובמיוחד היא מוקירה את פועלם של מנהלים ומורים המקדישים לכך את מלוא ומיטב כישוריהם ואהבתם.
	
	הוועדות מביעות דאגה באשר לאי מעורבות המערכת בכל הנוגע לילדי עובדים זרים בגיל הרך, שרבים מהם מוחזקים במעונות פרטיים שאין להם רישוי ולא קיים פיקוח על תנאי הבטיחות והתברואה בהם.

הוועדות קוראות למשרד החינוך לבחון מחדש את הקריטריונים, לענין תיקצוב בתי ספר, בהם יש שיעור גבוה של ילדי עובדים זרים.

הוועדות מברכות על הוראתו של שר הפנים למשטרת ההגירה כי לא יגורשו עובדים זרים להם ילדים במערכת החינוך ועל התהליך של הענקת מעמד לילדי עובדים זרים.

הוועדה מבקשת מועדת השרים העוסקת בנושא לאשר את מדיניות שר הפנים בענין זה.


תודה רבה.


הישיבה ננעלה בשעה 11:00"
